;case;activity;time;start_timestamp
65;17;d_1;05/01/2015 00.20.07;05/01/2015 00.20.07
66;17;c_1;05/01/2015 00.21.31;05/01/2015 00.21.31
67;17;f_1;05/01/2015 00.21.37;05/01/2015 00.21.37
68;18;a_1;05/01/2015 00.21.53;05/01/2015 00.21.53
69;18;d_1;05/01/2015 00.22.27;05/01/2015 00.22.27
70;18;c_1;05/01/2015 00.23.47;05/01/2015 00.23.47
71;18;f_1;05/01/2015 00.23.59;05/01/2015 00.23.59
72;19;b_1;05/01/2015 00.21.42;05/01/2015 00.21.42
73;19;e_1;05/01/2015 00.21.43;05/01/2015 00.21.43
74;19;d_1;05/01/2015 00.21.44;05/01/2015 00.21.44
75;19;g_1;05/01/2015 00.22.53;05/01/2015 00.22.53
76;20;b_1;05/01/2015 00.24.40;05/01/2015 00.24.40
77;20;d_1;05/01/2015 00.25.32;05/01/2015 00.25.32
78;20;e_1;05/01/2015 00.27.47;05/01/2015 00.27.47
79;20;g_1;05/01/2015 00.28.38;05/01/2015 00.28.38
80;21;b_1;05/01/2015 00.27.33;05/01/2015 00.27.33
81;21;e_1;05/01/2015 00.27.58;05/01/2015 00.27.58
82;21;d_1;05/01/2015 00.28.32;05/01/2015 00.28.32
83;21;g_1;05/01/2015 00.29.43;05/01/2015 00.29.43
84;22;b_1;05/01/2015 00.27.30;05/01/2015 00.27.30
85;22;d_1;05/01/2015 00.28.13;05/01/2015 00.28.13
86;22;e_1;05/01/2015 00.30.00;05/01/2015 00.30.00
87;22;g_1;05/01/2015 00.30.43;05/01/2015 00.30.43
88;23;b_1;05/01/2015 00.27.33;05/01/2015 00.27.33
89;23;d_1;05/01/2015 00.28.09;05/01/2015 00.28.09
90;23;e_1;05/01/2015 00.28.43;05/01/2015 00.28.43
91;23;g_1;05/01/2015 00.31.07;05/01/2015 00.31.07
92;24;a_1;05/01/2015 00.31.19;05/01/2015 00.31.19
93;24;d_1;05/01/2015 00.31.28;05/01/2015 00.31.28
94;24;x_1;05/01/2015 00.31.54;05/01/2015 00.31.54
95;24;c_1;05/01/2015 00.31.54;05/01/2015 00.31.54
96;24;f_1;05/01/2015 00.32.14;05/01/2015 00.32.14
97;25;b_1;05/01/2015 00.33.14;05/01/2015 00.33.14
98;25;e_1;05/01/2015 00.33.43;05/01/2015 00.33.43
99;25;d_1;05/01/2015 00.34.29;05/01/2015 00.34.29
100;25;g_1;05/01/2015 00.37.07;05/01/2015 00.37.07
101;26;a_1;05/01/2015 00.31.32;05/01/2015 00.31.32
102;26;d_1;05/01/2015 00.31.41;05/01/2015 00.31.41
103;26;c_1;05/01/2015 00.32.11;05/01/2015 00.32.11
104;26;f_1;05/01/2015 00.32.33;05/01/2015 00.32.33
105;27;a_1;05/01/2015 00.33.08;05/01/2015 00.33.08
106;27;d_1;05/01/2015 00.33.26;05/01/2015 00.33.26
107;27;c_1;05/01/2015 00.36.09;05/01/2015 00.36.09
108;27;f_1;05/01/2015 00.38.12;05/01/2015 00.38.12
109;28;b_1;05/01/2015 00.33.20;05/01/2015 00.33.20
110;28;d_1;05/01/2015 00.33.21;05/01/2015 00.33.21
111;28;e_1;05/01/2015 00.33.27;05/01/2015 00.33.27
112;28;g_1;05/01/2015 00.35.13;05/01/2015 00.35.13
113;29;b_1;05/01/2015 00.35.10;05/01/2015 00.35.10
114;29;e_1;05/01/2015 00.35.19;05/01/2015 00.35.19
115;29;d_1;05/01/2015 00.35.27;05/01/2015 00.35.27
116;29;g_1;05/01/2015 00.36.37;05/01/2015 00.36.37
117;30;a_1;05/01/2015 00.35.06;05/01/2015 00.35.06
118;30;d_1;05/01/2015 00.35.07;05/01/2015 00.35.07
119;30;c_1;05/01/2015 00.35.59;05/01/2015 00.35.59
120;30;f_1;05/01/2015 00.37.00;05/01/2015 00.37.00
121;31;b_1;05/01/2015 00.40.07;05/01/2015 00.40.07
122;31;e_1;05/01/2015 00.42.06;05/01/2015 00.42.06
123;31;d_1;05/01/2015 00.43.08;05/01/2015 00.43.08
124;31;g_1;05/01/2015 00.46.53;05/01/2015 00.46.53
125;32;b_1;05/01/2015 00.37.45;05/01/2015 00.37.45
126;32;d_1;05/01/2015 00.38.01;05/01/2015 00.38.01
127;32;e_1;05/01/2015 00.38.56;05/01/2015 00.38.56
128;32;g_1;05/01/2015 00.39.28;05/01/2015 00.39.28
129;33;a_1;05/01/2015 00.40.18;05/01/2015 00.40.18
130;33;c_1;05/01/2015 00.40.21;05/01/2015 00.40.21
131;33;d_1;05/01/2015 00.41.53;05/01/2015 00.41.53
132;33;f_1;05/01/2015 00.43.55;05/01/2015 00.43.55
133;34;b_1;05/01/2015 00.38.46;05/01/2015 00.38.46
134;34;d_1;05/01/2015 00.39.51;05/01/2015 00.39.51
135;34;e_1;05/01/2015 00.40.19;05/01/2015 00.40.19
136;34;g_1;05/01/2015 00.40.53;05/01/2015 00.40.53
137;35;a_1;05/01/2015 00.40.58;05/01/2015 00.40.58
138;35;c_1;05/01/2015 00.40.58;05/01/2015 00.40.58
139;35;d_1;05/01/2015 00.41.23;05/01/2015 00.41.23
140;35;f_1;05/01/2015 00.42.25;05/01/2015 00.42.25
141;36;a_1;05/01/2015 00.44.19;05/01/2015 00.44.19
142;36;c_1;05/01/2015 00.44.34;05/01/2015 00.44.34
143;36;d_1;05/01/2015 00.45.13;05/01/2015 00.45.13
144;36;f_1;05/01/2015 00.45.53;05/01/2015 00.45.53
145;37;b_1;05/01/2015 00.43.38;05/01/2015 00.43.38
146;37;e_1;05/01/2015 00.44.14;05/01/2015 00.44.14
147;37;d_1;05/01/2015 00.44.26;05/01/2015 00.44.26
148;37;g_1;05/01/2015 00.47.08;05/01/2015 00.47.08
149;38;b_1;05/01/2015 00.43.07;05/01/2015 00.43.07
150;38;e_1;05/01/2015 00.43.24;05/01/2015 00.43.24
151;38;x_1;05/01/2015 00.44.02;05/01/2015 00.44.02
152;38;d_1;05/01/2015 00.45.37;05/01/2015 00.45.37
153;38;g_1;05/01/2015 00.45.46;05/01/2015 00.45.46
154;39;a_1;05/01/2015 00.45.11;05/01/2015 00.45.11
155;39;d_1;05/01/2015 00.45.19;05/01/2015 00.45.19
156;39;x_1;05/01/2015 00.45.22;05/01/2015 00.45.22
157;39;c_1;05/01/2015 00.45.22;05/01/2015 00.45.22
158;39;f_1;05/01/2015 00.47.33;05/01/2015 00.47.33
159;40;a_1;05/01/2015 00.45.43;05/01/2015 00.45.43
160;40;c_1;05/01/2015 00.46.14;05/01/2015 00.46.14
161;40;d_1;05/01/2015 00.47.45;05/01/2015 00.47.45
162;40;f_1;05/01/2015 00.48.27;05/01/2015 00.48.27
163;41;b_1;05/01/2015 00.46.30;05/01/2015 00.46.30
164;41;d_1;05/01/2015 00.46.47;05/01/2015 00.46.47
165;41;e_1;05/01/2015 00.47.49;05/01/2015 00.47.49
166;41;g_1;05/01/2015 00.48.25;05/01/2015 00.48.25
167;42;a_1;05/01/2015 00.47.04;05/01/2015 00.47.04
168;42;c_1;05/01/2015 00.47.05;05/01/2015 00.47.05
169;42;d_1;05/01/2015 00.48.59;05/01/2015 00.48.59
170;42;f_1;05/01/2015 00.49.31;05/01/2015 00.49.31
171;43;a_1;05/01/2015 00.48.01;05/01/2015 00.48.01
172;43;d_1;05/01/2015 00.48.38;05/01/2015 00.48.38
173;43;c_1;05/01/2015 00.49.58;05/01/2015 00.49.58
174;43;f_1;05/01/2015 00.50.55;05/01/2015 00.50.55
175;44;a_1;05/01/2015 00.48.02;05/01/2015 00.48.02
176;44;c_1;05/01/2015 00.48.11;05/01/2015 00.48.11
177;44;d_1;05/01/2015 00.50.32;05/01/2015 00.50.32
178;44;f_1;05/01/2015 00.51.49;05/01/2015 00.51.49
179;45;a_1;05/01/2015 00.53.58;05/01/2015 00.53.58
180;45;d_1;05/01/2015 00.54.42;05/01/2015 00.54.42
181;45;c_1;05/01/2015 00.55.16;05/01/2015 00.55.16
182;45;f_1;05/01/2015 00.56.05;05/01/2015 00.56.05
183;46;a_1;05/01/2015 00.51.32;05/01/2015 00.51.32
184;46;c_1;05/01/2015 00.51.33;05/01/2015 00.51.33
185;46;d_1;05/01/2015 00.53.46;05/01/2015 00.53.46
186;46;f_1;05/01/2015 00.54.59;05/01/2015 00.54.59
187;47;b_1;05/01/2015 00.57.25;05/01/2015 00.57.25
188;47;e_1;05/01/2015 00.58.05;05/01/2015 00.58.05
189;47;d_1;05/01/2015 00.58.45;05/01/2015 00.58.45
190;47;g_1;05/01/2015 01.00.19;05/01/2015 01.00.19
191;48;b_1;05/01/2015 00.59.08;05/01/2015 00.59.08
192;48;d_1;05/01/2015 00.59.08;05/01/2015 00.59.08
193;48;e_1;05/01/2015 00.59.13;05/01/2015 00.59.13
194;48;g_1;05/01/2015 00.59.33;05/01/2015 00.59.33
195;49;a_1;05/01/2015 01.00.46;05/01/2015 01.00.46
196;49;d_1;05/01/2015 01.00.49;05/01/2015 01.00.49
197;49;c_1;05/01/2015 01.01.26;05/01/2015 01.01.26
198;49;f_1;05/01/2015 01.02.16;05/01/2015 01.02.16
199;50;b_1;05/01/2015 01.02.51;05/01/2015 01.02.51
200;50;d_1;05/01/2015 01.03.25;05/01/2015 01.03.25
201;50;e_1;05/01/2015 01.04.42;05/01/2015 01.04.42
202;50;g_1;05/01/2015 01.07.11;05/01/2015 01.07.11
203;51;a_1;05/01/2015 01.02.07;05/01/2015 01.02.07
204;51;d_1;05/01/2015 01.02.17;05/01/2015 01.02.17
205;51;c_1;05/01/2015 01.03.44;05/01/2015 01.03.44
206;51;f_1;05/01/2015 01.05.11;05/01/2015 01.05.11
207;52;b_1;05/01/2015 01.03.50;05/01/2015 01.03.50
208;52;d_1;05/01/2015 01.04.17;05/01/2015 01.04.17
209;52;e_1;05/01/2015 01.04.42;05/01/2015 01.04.42
210;52;g_1;05/01/2015 01.05.07;05/01/2015 01.05.07
211;53;a_1;05/01/2015 01.03.33;05/01/2015 01.03.33
212;53;d_1;05/01/2015 01.03.53;05/01/2015 01.03.53
213;53;x_1;05/01/2015 01.04.36;05/01/2015 01.04.36
214;53;c_1;05/01/2015 01.04.36;05/01/2015 01.04.36
215;53;f_1;05/01/2015 01.05.11;05/01/2015 01.05.11
216;54;b_1;05/01/2015 01.07.32;05/01/2015 01.07.32
217;54;d_1;05/01/2015 01.07.54;05/01/2015 01.07.54
218;54;e_1;05/01/2015 01.08.36;05/01/2015 01.08.36
219;54;g_1;05/01/2015 01.09.02;05/01/2015 01.09.02
220;55;b_1;05/01/2015 01.06.59;05/01/2015 01.06.59
221;55;e_1;05/01/2015 01.08.20;05/01/2015 01.08.20
222;55;d_1;05/01/2015 01.08.49;05/01/2015 01.08.49
223;55;g_1;05/01/2015 01.09.01;05/01/2015 01.09.01
224;56;a_1;05/01/2015 01.07.05;05/01/2015 01.07.05
225;56;c_1;05/01/2015 01.07.07;05/01/2015 01.07.07
226;56;d_1;05/01/2015 01.07.12;05/01/2015 01.07.12
227;56;f_1;05/01/2015 01.07.44;05/01/2015 01.07.44
228;57;a_1;05/01/2015 01.09.31;05/01/2015 01.09.31
229;57;c_1;05/01/2015 01.09.56;05/01/2015 01.09.56
230;57;d_1;05/01/2015 01.13.14;05/01/2015 01.13.14
231;57;f_1;05/01/2015 01.13.52;05/01/2015 01.13.52
232;58;b_1;05/01/2015 01.11.49;05/01/2015 01.11.49
233;58;e_1;05/01/2015 01.12.28;05/01/2015 01.12.28
234;58;d_1;05/01/2015 01.12.32;05/01/2015 01.12.32
235;58;g_1;05/01/2015 01.13.03;05/01/2015 01.13.03
236;59;b_1;05/01/2015 01.11.56;05/01/2015 01.11.56
237;59;d_1;05/01/2015 01.12.46;05/01/2015 01.12.46
238;59;e_1;05/01/2015 01.13.00;05/01/2015 01.13.00
239;59;g_1;05/01/2015 01.15.22;05/01/2015 01.15.22
240;60;b_1;05/01/2015 01.14.12;05/01/2015 01.14.12
241;60;d_1;05/01/2015 01.14.26;05/01/2015 01.14.26
242;60;e_1;05/01/2015 01.15.00;05/01/2015 01.15.00
243;60;g_1;05/01/2015 01.16.35;05/01/2015 01.16.35
244;61;a_1;05/01/2015 01.14.07;05/01/2015 01.14.07
245;61;d_1;05/01/2015 01.14.21;05/01/2015 01.14.21
246;61;c_1;05/01/2015 01.15.18;05/01/2015 01.15.18
247;61;f_1;05/01/2015 01.17.13;05/01/2015 01.17.13
248;62;b_1;05/01/2015 01.16.17;05/01/2015 01.16.17
249;62;d_1;05/01/2015 01.16.40;05/01/2015 01.16.40
250;62;e_1;05/01/2015 01.16.45;05/01/2015 01.16.45
251;62;g_1;05/01/2015 01.17.32;05/01/2015 01.17.32
252;63;a_1;05/01/2015 01.15.40;05/01/2015 01.15.40
253;63;d_1;05/01/2015 01.16.10;05/01/2015 01.16.10
254;63;c_1;05/01/2015 01.16.56;05/01/2015 01.16.56
255;63;f_1;05/01/2015 01.20.06;05/01/2015 01.20.06
256;64;b_1;05/01/2015 01.16.57;05/01/2015 01.16.57
257;64;e_1;05/01/2015 01.18.05;05/01/2015 01.18.05
258;64;d_1;05/01/2015 01.22.34;05/01/2015 01.22.34
259;64;g_1;05/01/2015 01.23.33;05/01/2015 01.23.33
260;65;a_1;05/01/2015 01.16.08;05/01/2015 01.16.08
261;65;d_1;05/01/2015 01.16.25;05/01/2015 01.16.25
262;65;c_1;05/01/2015 01.16.50;05/01/2015 01.16.50
263;65;f_1;05/01/2015 01.17.20;05/01/2015 01.17.20
264;66;a_1;05/01/2015 01.16.11;05/01/2015 01.16.11
265;66;c_1;05/01/2015 01.16.20;05/01/2015 01.16.20
266;66;d_1;05/01/2015 01.19.32;05/01/2015 01.19.32
267;66;f_1;05/01/2015 01.20.39;05/01/2015 01.20.39
268;67;a_1;05/01/2015 01.17.19;05/01/2015 01.17.19
269;67;d_1;05/01/2015 01.18.01;05/01/2015 01.18.01
270;67;x_1;05/01/2015 01.19.34;05/01/2015 01.19.34
271;67;c_1;05/01/2015 01.19.34;05/01/2015 01.19.34
272;67;f_1;05/01/2015 01.19.43;05/01/2015 01.19.43
273;68;b_1;05/01/2015 01.17.15;05/01/2015 01.17.15
274;68;d_1;05/01/2015 01.18.17;05/01/2015 01.18.17
275;68;e_1;05/01/2015 01.19.18;05/01/2015 01.19.18
276;68;g_1;05/01/2015 01.19.59;05/01/2015 01.19.59
277;69;a_1;05/01/2015 01.18.46;05/01/2015 01.18.46
278;69;c_1;05/01/2015 01.20.55;05/01/2015 01.20.55
279;69;d_1;05/01/2015 01.22.39;05/01/2015 01.22.39
280;69;f_1;05/01/2015 01.25.51;05/01/2015 01.25.51
281;70;a_1;05/01/2015 01.18.12;05/01/2015 01.18.12
282;70;d_1;05/01/2015 01.19.10;05/01/2015 01.19.10
283;70;c_1;05/01/2015 01.19.14;05/01/2015 01.19.14
284;70;f_1;05/01/2015 01.19.17;05/01/2015 01.19.17
285;71;a_1;05/01/2015 01.21.29;05/01/2015 01.21.29
286;71;d_1;05/01/2015 01.21.58;05/01/2015 01.21.58
287;71;c_1;05/01/2015 01.22.59;05/01/2015 01.22.59
288;71;f_1;05/01/2015 01.23.58;05/01/2015 01.23.58
289;72;a_1;05/01/2015 01.19.21;05/01/2015 01.19.21
290;72;d_1;05/01/2015 01.20.42;05/01/2015 01.20.42
291;72;c_1;05/01/2015 01.22.35;05/01/2015 01.22.35
292;72;f_1;05/01/2015 01.23.30;05/01/2015 01.23.30
293;73;b_1;05/01/2015 01.22.15;05/01/2015 01.22.15
294;73;d_1;05/01/2015 01.22.33;05/01/2015 01.22.33
295;73;e_1;05/01/2015 01.23.04;05/01/2015 01.23.04
296;73;g_1;05/01/2015 01.24.02;05/01/2015 01.24.02
297;74;a_1;05/01/2015 01.21.04;05/01/2015 01.21.04
298;74;d_1;05/01/2015 01.21.05;05/01/2015 01.21.05
299;74;c_1;05/01/2015 01.22.00;05/01/2015 01.22.00
300;74;f_1;05/01/2015 01.23.28;05/01/2015 01.23.28
301;75;b_1;05/01/2015 01.21.27;05/01/2015 01.21.27
302;75;d_1;05/01/2015 01.21.31;05/01/2015 01.21.31
303;75;e_1;05/01/2015 01.21.50;05/01/2015 01.21.50
304;75;g_1;05/01/2015 01.24.25;05/01/2015 01.24.25
305;76;a_1;05/01/2015 01.21.35;05/01/2015 01.21.35
306;76;d_1;05/01/2015 01.22.19;05/01/2015 01.22.19
307;76;c_1;05/01/2015 01.23.06;05/01/2015 01.23.06
308;76;f_1;05/01/2015 01.24.44;05/01/2015 01.24.44
309;77;b_1;05/01/2015 01.21.58;05/01/2015 01.21.58
310;77;d_1;05/01/2015 01.22.14;05/01/2015 01.22.14
311;77;e_1;05/01/2015 01.22.37;05/01/2015 01.22.37
312;77;g_1;05/01/2015 01.23.08;05/01/2015 01.23.08
313;78;a_1;05/01/2015 01.21.54;05/01/2015 01.21.54
314;78;c_1;05/01/2015 01.22.48;05/01/2015 01.22.48
315;78;d_1;05/01/2015 01.23.01;05/01/2015 01.23.01
316;78;f_1;05/01/2015 01.26.03;05/01/2015 01.26.03
317;79;b_1;05/01/2015 01.23.42;05/01/2015 01.23.42
318;79;e_1;05/01/2015 01.23.48;05/01/2015 01.23.48
319;79;d_1;05/01/2015 01.23.51;05/01/2015 01.23.51
320;79;g_1;05/01/2015 01.25.40;05/01/2015 01.25.40
321;80;b_1;05/01/2015 01.24.52;05/01/2015 01.24.52
322;80;e_1;05/01/2015 01.25.57;05/01/2015 01.25.57
323;80;d_1;05/01/2015 01.28.17;05/01/2015 01.28.17
324;80;g_1;05/01/2015 01.28.29;05/01/2015 01.28.29
325;81;a_1;05/01/2015 01.25.22;05/01/2015 01.25.22
326;81;d_1;05/01/2015 01.25.32;05/01/2015 01.25.32
327;81;c_1;05/01/2015 01.25.43;05/01/2015 01.25.43
328;81;f_1;05/01/2015 01.27.05;05/01/2015 01.27.05
329;82;b_1;05/01/2015 01.25.19;05/01/2015 01.25.19
330;82;d_1;05/01/2015 01.25.48;05/01/2015 01.25.48
331;82;e_1;05/01/2015 01.25.55;05/01/2015 01.25.55
332;82;g_1;05/01/2015 01.26.17;05/01/2015 01.26.17
333;83;b_1;05/01/2015 01.25.31;05/01/2015 01.25.31
334;83;e_1;05/01/2015 01.25.32;05/01/2015 01.25.32
335;83;d_1;05/01/2015 01.26.04;05/01/2015 01.26.04
336;83;g_1;05/01/2015 01.28.18;05/01/2015 01.28.18
337;84;b_1;05/01/2015 01.26.38;05/01/2015 01.26.38
338;84;e_1;05/01/2015 01.27.40;05/01/2015 01.27.40
339;84;d_1;05/01/2015 01.28.11;05/01/2015 01.28.11
340;84;g_1;05/01/2015 01.30.01;05/01/2015 01.30.01
341;85;a_1;05/01/2015 01.26.19;05/01/2015 01.26.19
342;85;d_1;05/01/2015 01.26.27;05/01/2015 01.26.27
343;85;c_1;05/01/2015 01.28.19;05/01/2015 01.28.19
344;85;f_1;05/01/2015 01.31.03;05/01/2015 01.31.03
345;86;b_1;05/01/2015 01.27.21;05/01/2015 01.27.21
346;86;e_1;05/01/2015 01.28.00;05/01/2015 01.28.00
347;86;d_1;05/01/2015 01.29.45;05/01/2015 01.29.45
348;86;x_1;05/01/2015 01.32.44;05/01/2015 01.32.44
349;86;g_1;05/01/2015 01.33.16;05/01/2015 01.33.16
350;87;a_1;05/01/2015 01.26.29;05/01/2015 01.26.29
351;87;c_1;05/01/2015 01.26.31;05/01/2015 01.26.31
352;87;d_1;05/01/2015 01.28.56;05/01/2015 01.28.56
353;87;f_1;05/01/2015 01.29.06;05/01/2015 01.29.06
354;88;a_1;05/01/2015 01.26.56;05/01/2015 01.26.56
355;88;d_1;05/01/2015 01.27.07;05/01/2015 01.27.07
356;88;c_1;05/01/2015 01.28.31;05/01/2015 01.28.31
357;88;f_1;05/01/2015 01.29.41;05/01/2015 01.29.41
358;89;a_1;05/01/2015 01.31.59;05/01/2015 01.31.59
359;89;c_1;05/01/2015 01.32.44;05/01/2015 01.32.44
360;89;d_1;05/01/2015 01.36.10;05/01/2015 01.36.10
361;89;f_1;05/01/2015 01.36.11;05/01/2015 01.36.11
362;90;a_1;05/01/2015 01.30.32;05/01/2015 01.30.32
363;90;d_1;05/01/2015 01.30.42;05/01/2015 01.30.42
364;90;c_1;05/01/2015 01.31.02;05/01/2015 01.31.02
365;90;f_1;05/01/2015 01.33.17;05/01/2015 01.33.17
366;91;a_1;05/01/2015 01.30.40;05/01/2015 01.30.40
367;91;c_1;05/01/2015 01.31.06;05/01/2015 01.31.06
368;91;d_1;05/01/2015 01.31.19;05/01/2015 01.31.19
369;91;f_1;05/01/2015 01.31.22;05/01/2015 01.31.22
370;92;b_1;05/01/2015 01.30.47;05/01/2015 01.30.47
371;92;d_1;05/01/2015 01.31.56;05/01/2015 01.31.56
372;92;e_1;05/01/2015 01.32.44;05/01/2015 01.32.44
373;92;g_1;05/01/2015 01.34.38;05/01/2015 01.34.38
374;93;b_1;05/01/2015 01.31.21;05/01/2015 01.31.21
375;93;e_1;05/01/2015 01.33.43;05/01/2015 01.33.43
376;93;d_1;05/01/2015 01.33.56;05/01/2015 01.33.56
377;93;g_1;05/01/2015 01.35.25;05/01/2015 01.35.25
378;94;a_1;05/01/2015 01.42.46;05/01/2015 01.42.46
379;94;d_1;05/01/2015 01.42.54;05/01/2015 01.42.54
380;94;x_1;05/01/2015 01.45.05;05/01/2015 01.45.05
381;94;c_1;05/01/2015 01.45.05;05/01/2015 01.45.05
382;94;f_1;05/01/2015 01.45.20;05/01/2015 01.45.20
383;95;b_1;05/01/2015 01.41.45;05/01/2015 01.41.45
384;95;d_1;05/01/2015 01.42.17;05/01/2015 01.42.17
385;95;e_1;05/01/2015 01.42.39;05/01/2015 01.42.39
386;95;g_1;05/01/2015 01.43.22;05/01/2015 01.43.22
387;96;b_1;05/01/2015 01.43.07;05/01/2015 01.43.07
388;96;e_1;05/01/2015 01.43.18;05/01/2015 01.43.18
389;96;d_1;05/01/2015 01.43.21;05/01/2015 01.43.21
390;96;g_1;05/01/2015 01.44.58;05/01/2015 01.44.58
391;97;b_1;05/01/2015 01.44.42;05/01/2015 01.44.42
392;97;e_1;05/01/2015 01.44.57;05/01/2015 01.44.57
393;97;d_1;05/01/2015 01.45.58;05/01/2015 01.45.58
394;97;g_1;05/01/2015 01.47.55;05/01/2015 01.47.55
395;98;a_1;05/01/2015 01.43.20;05/01/2015 01.43.20
396;98;d_1;05/01/2015 01.43.21;05/01/2015 01.43.21
397;98;c_1;05/01/2015 01.44.08;05/01/2015 01.44.08
398;98;f_1;05/01/2015 01.44.36;05/01/2015 01.44.36
399;99;a_1;05/01/2015 01.46.06;05/01/2015 01.46.06
400;99;d_1;05/01/2015 01.46.12;05/01/2015 01.46.12
401;99;c_1;05/01/2015 01.48.32;05/01/2015 01.48.32
402;99;f_1;05/01/2015 01.51.12;05/01/2015 01.51.12
403;100;a_1;05/01/2015 01.47.34;05/01/2015 01.47.34
404;100;d_1;05/01/2015 01.47.35;05/01/2015 01.47.35
405;100;c_1;05/01/2015 01.47.52;05/01/2015 01.47.52
406;100;f_1;05/01/2015 01.50.10;05/01/2015 01.50.10
407;101;b_1;05/01/2015 01.46.57;05/01/2015 01.46.57
408;101;e_1;05/01/2015 01.48.06;05/01/2015 01.48.06
409;101;d_1;05/01/2015 01.48.07;05/01/2015 01.48.07
